max_reinforce,min_diff_A,max_freq_M0,max_freq_F1,final_adapt_diff_unlinked,this.order,n.gen,r12,r23,r34,s,n.unlinked,prop.replaced0,prop.replaced1,discrim
0.932263998187077,0.999901306464679,4.97350263143524e-5,0.740322001894858,NA,AMF,10000,0,0,0.5,0.8,0,0.002,0.002,1
0.934172876533782,0.999912027335431,4.4325441783136e-5,0.743989325131333,NA,AMF,10000,0,0,0.5,0.81,0,0.002,0.002,1
0.936016597650457,0.999922005778065,3.92917575953336e-5,0.747581854759887,NA,AMF,10000,0,0,0.5,0.82,0,0.002,0.002,1
0.937797618305046,0.999931268520475,3.4620215733758003e-05,0.751101244464332,NA,AMF,10000,0,0,0.5,0.83,0,0.002,0.002,1
0.939518301715699,0.999939841036399,3.02977509852027e-5,0.754549120440323,NA,AMF,10000,0,0,0.5,0.84,0,0.002,0.002,1
0.941180920690091,0.999947747401991,2.63119478053984e-5,0.757927080920781,NA,AMF,10000,0,0,0.5,0.85,0,0.002,0.002,1
0.942787660712571,0.999955011102145,2.26509838809824e-5,0.761236695791514,NA,AMF,10000,0,0,0.5,0.86,0,0.002,0.002,1
0.944340622974243,0.999961654229986,1.93035732986628e-5,0.76447950629106,NA,AMF,10000,0,0,0.5,0.87,0,0.002,0.002,1
0.945841827341798,0.999967697875963,1.62588786174076e-5,0.767657024788922,NA,AMF,10000,0,0,0.5,0.88,0,0.002,0.002,1
0.947293215261566,0.999973162197591,1.35066118113734e-5,0.770770734636574,NA,AMF,10000,0,0,0.5,0.89,0,0.002,0.002,1
0.948696652595875,0.999978066355457,1.10369392145703e-5,0.773822090085831,NA,AMF,10000,0,0,0.5,0.9,0,0.002,0.002,1
0.950053932389359,0.99998242896943,8.84048218299525e-6,0.776812516269349,NA,AMF,10000,0,0,0.5,0.91,0,0.002,0.002,1
0.951366777563376,0.999986267652487,6.90820796694448e-6,0.779743409238251,NA,AMF,10000,0,0,0.5,0.92,0,0.002,0.002,1
0.952636843537181,0.999989599272372,5.23150666211863e-6,0.782616136052194,NA,AMF,10000,0,0,0.5,0.93,0,0.002,0.002,1
0.953865720774867,0.999992439974239,3.80214149831796e-6,0.78543203491722,NA,AMF,10000,0,0,0.5,0.94,0,0.002,0.002,1
0.955054937257568,0.999994805258381,2.61222729508662e-6,0.788192415367234,NA,AMF,10000,0,0,0.5,0.95,0,0.002,0.002,1
0.956205960880677,0.999996710019712,1.65418574065283e-6,0.790898558484937,NA,AMF,10000,0,0,0.5,0.96,0,0.002,0.002,1
0.95732020177618,0.999998168483383,9.20759500897742e-7,0.79355171715844,NA,AMF,10000,0,0,0.5,0.97,0,0.002,0.002,1
0.958399014560473,0.999999194303511,4.04994620663034e-7,0.796153116369912,NA,AMF,10000,0,0,0.5,0.98,0,0.002,0.002,1
0.959443700508288,0.999999800612027,1.00212512150873e-7,0.798703953512905,NA,AMF,10000,0,0,0.5,0.99,0,0.002,0.002,1
0.960455509653545,1,0,0.80120539873516206,NA,AMF,10000,0,0,0.5,1,0,0.002,0.002,1
0.0199,0,1,0.0100000000000002,NA,AMF,10000,0,0,0.5,0,0,0.004,0.004,1
0.0199,0.488543333265533,0.46221849338851,0.0101340259327776,NA,AMF,10000,0,0,0.5,0.01,0,0.004,0.004,1
0.0378604875884181,0.694361848657431,0.278140029213775,0.0271178302351428,NA,AMF,10000,0,0,0.5,0.02,0,0.004,0.004,1
0.0775473905613375,0.758177175849622,0.225663973196155,0.0521737676418136,NA,AMF,10000,0,0,0.5,0.03,0,0.004,0.004,1
0.124972440412074,0.797946125790023,0.191324347148866,0.0816314094086591,NA,AMF,10000,0,0,0.5,0.04,0,0.004,0.004,1
0.177268062146135,0.826528637839077,0.165826875401891,0.114144108040803,NA,AMF,10000,0,0,0.5,0.05,0,0.004,0.004,1
0.232095178276156,0.848788175889472,0.145509953103988,0.148605398732565,NA,AMF,10000,0,0,0.5,0.06,0,0.004,0.004,1
0.28757156583565,0.866969620720542,0.12863867923045,0.18410383272474,NA,AMF,10000,0,0,0.5,0.07,0,0.004,0.004,1
0.342246934357355,0.882261470460996,0.114274926286855,0.219907797584637,NA,AMF,10000,0,0,0.5,0.08,0,0.004,0.004,1
0.395064284874646,0.895365155135116,0.101853299469873,0.255448856310542,NA,AMF,10000,0,0,0.5,0.09,0,0.004,0.004,1
0.445304566417025,0.906733989769116,0.0910001578774623,0.29030046068005,NA,AMF,10000,0,0,0.5,0.1,0,0.004,0.004,1
0.492523836062926,0.916683750542051,0.0814491808709785,0.324154573125884,NA,AMF,10000,0,0,0.5,0.11,0,0.004,0.004,1
0.536491665120228,0.92544785660108,0.0729991074309485,0.356798861845259,NA,AMF,10000,0,0,0.5,0.12,0,0.004,0.004,1
0.577136217627661,0.933206767277999,0.0654912000820954,0.388096130636375,NA,AMF,10000,0,0,0.5,0.13,0,0.004,0.004,1
0.614498370386939,0.940104637480913,0.0587964496511335,0.417966712364702,NA,AMF,10000,0,0,0.5,0.14,0,0.004,0.004,1
0.648695184929988,0.946259340015405,0.0528078310873466,0.446373936396323,NA,AMF,10000,0,0,0.5,0.15,0,0.004,0.004,1
0.67989190784739,0.951768858858525,0.0474353100563453,0.473312442158202,NA,AMF,10000,0,0,0.5,0.16,0,0.004,0.004,1
0.708281191157656,0.956715593267153,0.0426024293370984,0.498798964690079,NA,AMF,10000,0,0,0.5,0.17,0,0.004,0.004,1
0.734068129018619,0.961169392348959,0.0382438580643481,0.522865186350046,NA,AMF,10000,0,0,0.5,0.18,0,0.004,0.004,1
0.757459813557254,0.965189772074013,0.034303567753479,0.545552278568297,NA,AMF,10000,0,0,0.5,0.19,0,0.004,0.004,1
0.778658303308229,0.96882757251119,0.0307334459859931,0.566906816447893,NA,AMF,10000,0,0,0.5,0.2,0,0.004,0.004,1
0.797856106742893,0.97212620747028,0.0274922375236268,0.586977819168323,NA,AMF,10000,0,0,0.5,0.21,0,0.004,0.004,1
0.815233478382744,0.975122601059608,0.024544744683478,0.605814740839416,NA,AMF,10000,0,0,0.5,0.22,0,0.004,0.004,1
0.830956994327796,0.977847877406203,0.0218612376759838,0.623466302827879,NA,AMF,10000,0,0,0.5,0.23,0,0.004,0.004,1
0.845179018239872,0.980327864405494,0.0194170251720046,0.639980110628929,NA,AMF,10000,0,0,0.5,0.24,0,0.004,0.004,1
0.858037795350385,0.982583489439747,0.0171921145855168,0.655403020273081,NA,AMF,10000,0,0,0.5,0.25,0,0.004,0.004,1
0.86965802938333,0.984631183200831,0.0151708509209763,0.669782186717745,NA,AMF,10000,0,0,0.5,0.26,0,0.004,0.004,1
0.880151903612547,0.986483452714198,0.0133413764176642,0.68316661507562,NA,AMF,10000,0,0,0.5,0.27,0,0.004,0.004,1
0.889620572908767,0.988149794397916,0.0116947423669301,0.695608847540369,NA,AMF,10000,0,0,0.5,0.28,0,0.004,0.004,1
0.898156115022426,0.989638026798982,0.0102235949923343,0.707166227080225,NA,AMF,10000,0,0,0.5,0.29,0,0.004,0.004,1
0.905843738320583,0.990955897904123,0.00892058175891659,0.717901138642207,NA,AMF,10000,0,0,0.5,0.3,0,0.004,0.004,1
0.912763778730359,0.992112558220213,0.00777688821151763,0.727879886753484,NA,AMF,10000,0,0,0.5,0.31,0,0.004,0.004,1
